table_name	column_name	data_type	udt_name	is_nullable	column_default
_legacy_applications_id_cleanup_20260324	id	uuid	uuid	YES	
_legacy_applications_id_cleanup_20260324	airtable_id	text	text	YES	
_legacy_applications_id_cleanup_20260324	update_airtable	boolean	bool	YES	
_legacy_applications_id_cleanup_20260324	pre_l1_transcript	text	text	YES	
_legacy_applications_id_cleanup_20260324	screening_report_link	text	text	YES	
_legacy_applications_id_cleanup_20260324	post_screening_report	text	text	YES	
_legacy_applications_id_cleanup_20260324	transcript	text	text	YES	
_legacy_applications_id_cleanup_20260324	form_filled_by	character varying	varchar	YES	
_legacy_profiles_database_cleanup_20260324	id	uuid	uuid	YES	
_legacy_profiles_database_cleanup_20260324	airtable_id	text	text	YES	
_legacy_profiles_database_cleanup_20260324	candidate_cost	numeric	numeric	YES	
_legacy_profiles_database_cleanup_20260324	bench_type	character varying	varchar	YES	
_legacy_profiles_database_cleanup_20260324	candidate_type	character varying	varchar	YES	
_legacy_profiles_database_cleanup_20260324	recruitment_notes	text	text	YES	
_legacy_profiles_database_cleanup_20260324	tech_self_rating	text	text	YES	
_legacy_profiles_database_cleanup_20260324	comments	text	text	YES	
_legacy_profiles_database_cleanup_20260324	screening_report	text	text	YES	
_legacy_screenings_cleanup_20260324	id	uuid	uuid	YES	
_legacy_screenings_cleanup_20260324	airtable_id	text	text	YES	
_legacy_screenings_cleanup_20260324	candidate_name	character varying	varchar	YES	
_legacy_screenings_cleanup_20260324	skill	text	text	YES	
_legacy_screenings_cleanup_20260324	cv_link	text	text	YES	
_legacy_screenings_cleanup_20260324	candidate_profile_id	uuid	uuid	YES	
_legacy_screenings_cleanup_20260324	screener_assigned	character varying	varchar	YES	
_legacy_screenings_cleanup_20260324	ai_interview_link	text	text	YES	
_legacy_screenings_cleanup_20260324	screener_evaluation_report	text	text	YES	
_legacy_screenings_cleanup_20260324	test_date	timestamp with time zone	timestamptz	YES	
_legacy_screenings_cleanup_20260324	date	timestamp with time zone	timestamptz	YES	
_legacy_screenings_cleanup_20260324	slotkey	character varying	varchar	YES	
app_tokens	id	text	text	NO	'ms_graph_tokens'::text
app_tokens	token_data	jsonb	jsonb	NO	
app_tokens	created_at	timestamp with time zone	timestamptz	YES	now()
app_tokens	updated_at	timestamp with time zone	timestamptz	YES	now()
