tablename	indexname	indexdef
app_tokens	app_tokens_pkey	CREATE UNIQUE INDEX app_tokens_pkey ON public.app_tokens USING btree (id)
applications_id	applications_id_airtable_id_key	CREATE UNIQUE INDEX applications_id_airtable_id_key ON public.applications_id USING btree (airtable_id)
applications_id	applications_id_pkey	CREATE UNIQUE INDEX applications_id_pkey ON public.applications_id USING btree (id)
applications_id	idx_applications_id_airtable_id	CREATE INDEX idx_applications_id_airtable_id ON public.applications_id USING btree (airtable_id)
applications_id	idx_applications_id_form_filled_by_id	CREATE INDEX idx_applications_id_form_filled_by_id ON public.applications_id USING btree (form_filled_by_id)
applications_id	idx_applications_id_openings_id	CREATE INDEX idx_applications_id_openings_id ON public.applications_id USING btree (openings_id)
applications_id	idx_applications_id_status	CREATE INDEX idx_applications_id_status ON public.applications_id USING btree (status)
applications_id	idx_applications_id_vendor_id	CREATE INDEX idx_applications_id_vendor_id ON public.applications_id USING btree (vendor_id)
campaign_subscription	campaign_subscription_pkey	CREATE UNIQUE INDEX campaign_subscription_pkey ON public.campaign_subscription USING btree (id)
campaign_trigger	campaign_trigger_pkey	CREATE UNIQUE INDEX campaign_trigger_pkey ON public.campaign_trigger USING btree (id)
candidate_skill_map	candidate_skill_map_candidate_id_skill_id_key	CREATE UNIQUE INDEX candidate_skill_map_candidate_id_skill_id_key ON public.candidate_skill_map USING btree (candidate_id, skill_id)
candidate_skill_map	candidate_skill_map_pkey	CREATE UNIQUE INDEX candidate_skill_map_pkey ON public.candidate_skill_map USING btree (id)
candidate_skill_map	idx_candidate_skill_map_candidate_id	CREATE INDEX idx_candidate_skill_map_candidate_id ON public.candidate_skill_map USING btree (candidate_id)
client_department	client_department_airtable_id_key	CREATE UNIQUE INDEX client_department_airtable_id_key ON public.client_department USING btree (airtable_id)
client_department	client_department_pkey	CREATE UNIQUE INDEX client_department_pkey ON public.client_department USING btree (id)
client_department	idx_client_department_airtable_id	CREATE INDEX idx_client_department_airtable_id ON public.client_department USING btree (airtable_id)
client_master	client_master_airtable_id_key	CREATE UNIQUE INDEX client_master_airtable_id_key ON public.client_master USING btree (airtable_id)
client_master	client_master_pkey	CREATE UNIQUE INDEX client_master_pkey ON public.client_master USING btree (id)
client_master	idx_client_master_airtable_id	CREATE INDEX idx_client_master_airtable_id ON public.client_master USING btree (airtable_id)
difficulties	difficulties_level_name_key	CREATE UNIQUE INDEX difficulties_level_name_key ON public.difficulties USING btree (level_name)
difficulties	difficulties_pkey	CREATE UNIQUE INDEX difficulties_pkey ON public.difficulties USING btree (id)
documents_master	documents_master_airtable_id_key	CREATE UNIQUE INDEX documents_master_airtable_id_key ON public.documents_master USING btree (airtable_id)
documents_master	documents_master_pkey	CREATE UNIQUE INDEX documents_master_pkey ON public.documents_master USING btree (id)
documents_master_client_departments	documents_master_client_departments_pkey	CREATE UNIQUE INDEX documents_master_client_departments_pkey ON public.documents_master_client_departments USING btree (document_master_id, client_department_id)
jd_generator_history	idx_jd_generator_created_at	CREATE INDEX idx_jd_generator_created_at ON public.jd_generator_history USING btree (created_at DESC)
jd_generator_history	idx_jd_generator_job_title	CREATE INDEX idx_jd_generator_job_title ON public.jd_generator_history USING btree (job_title)
jd_generator_history	jd_generator_history_pkey	CREATE UNIQUE INDEX jd_generator_history_pkey ON public.jd_generator_history USING btree (id)
locations	idx_locations_airtable_id	CREATE INDEX idx_locations_airtable_id ON public.locations USING btree (airtable_id)
locations	locations_airtable_id_key	CREATE UNIQUE INDEX locations_airtable_id_key ON public.locations USING btree (airtable_id)
locations	locations_pkey	CREATE UNIQUE INDEX locations_pkey ON public.locations USING btree (id)
naukri_candidates	idx_naukri_candidates_folder_id	CREATE INDEX idx_naukri_candidates_folder_id ON public.naukri_candidates USING btree (folder_id)
naukri_candidates	idx_naukri_candidates_status	CREATE INDEX idx_naukri_candidates_status ON public.naukri_candidates USING btree (status)
naukri_candidates	idx_naukri_candidates_unique_id	CREATE INDEX idx_naukri_candidates_unique_id ON public.naukri_candidates USING btree (unique_candidate_id)
naukri_candidates	naukri_candidates_pkey	CREATE UNIQUE INDEX naukri_candidates_pkey ON public.naukri_candidates USING btree (id)
naukri_folders	idx_naukri_folders_folder_id	CREATE INDEX idx_naukri_folders_folder_id ON public.naukri_folders USING btree (folder_id)
naukri_folders	idx_naukri_folders_opening_id	CREATE INDEX idx_naukri_folders_opening_id ON public.naukri_folders USING btree (opening_id)
naukri_folders	idx_naukri_folders_vendor_id_number	CREATE INDEX idx_naukri_folders_vendor_id_number ON public.naukri_folders USING btree (vendor_id_number)
naukri_folders	naukri_folders_folder_id_key	CREATE UNIQUE INDEX naukri_folders_folder_id_key ON public.naukri_folders USING btree (folder_id)
naukri_folders	naukri_folders_pkey	CREATE UNIQUE INDEX naukri_folders_pkey ON public.naukri_folders USING btree (id)
onboarding_events	idx_onboarding_events_selected	CREATE INDEX idx_onboarding_events_selected ON public.onboarding_events USING btree (selected_id)
onboarding_events	onboarding_events_pkey	CREATE UNIQUE INDEX onboarding_events_pkey ON public.onboarding_events USING btree (id)
onboarding_events	unique_selected_event	CREATE UNIQUE INDEX unique_selected_event ON public.onboarding_events USING btree (selected_id, event_type)
openai_call_logs	idx_openai_logs_candidate_id	CREATE INDEX idx_openai_logs_candidate_id ON public.openai_call_logs USING btree (candidate_id)
openai_call_logs	idx_openai_logs_operation	CREATE INDEX idx_openai_logs_operation ON public.openai_call_logs USING btree (operation)
openai_call_logs	idx_openai_logs_status	CREATE INDEX idx_openai_logs_status ON public.openai_call_logs USING btree (status)
openai_call_logs	idx_openai_logs_timestamp	CREATE INDEX idx_openai_logs_timestamp ON public.openai_call_logs USING btree ("timestamp" DESC)
openai_call_logs	openai_call_logs_pkey	CREATE UNIQUE INDEX openai_call_logs_pkey ON public.openai_call_logs USING btree (id)
opening_skill_question	idx_opening_skill_question_question_id	CREATE INDEX idx_opening_skill_question_question_id ON public.opening_skill_question USING btree (question_id)
opening_skill_question	idx_opening_skill_question_skill_map_id	CREATE INDEX idx_opening_skill_question_skill_map_id ON public.opening_skill_question USING btree (skill_map_id)
opening_skill_question	opening_skill_question_pkey	CREATE UNIQUE INDEX opening_skill_question_pkey ON public.opening_skill_question USING btree (id)
opening_skill_question	opening_skill_question_skill_map_id_question_id_key	CREATE UNIQUE INDEX opening_skill_question_skill_map_id_question_id_key ON public.opening_skill_question USING btree (skill_map_id, question_id)
openings	idx_openings_airtable_id	CREATE INDEX idx_openings_airtable_id ON public.openings USING btree (airtable_id)
openings	idx_openings_status	CREATE INDEX idx_openings_status ON public.openings USING btree (status)
openings	idx_openings_sync_status	CREATE INDEX idx_openings_sync_status ON public.openings USING btree (sync_status) WHERE (sync_status <> 'SYNCED'::text)
openings	openings_airtable_id_key	CREATE UNIQUE INDEX openings_airtable_id_key ON public.openings USING btree (airtable_id)
openings	openings_pkey	CREATE UNIQUE INDEX openings_pkey ON public.openings USING btree (id)
openings_locations_openings	idx_openings_locations_openings_source	CREATE INDEX idx_openings_locations_openings_source ON public.openings_locations_openings USING btree (openings_id)
openings_locations_openings	idx_openings_locations_openings_target	CREATE INDEX idx_openings_locations_openings_target ON public.openings_locations_openings USING btree (locations_id)
openings_locations_openings	openings_locations_openings_pkey	CREATE UNIQUE INDEX openings_locations_openings_pkey ON public.openings_locations_openings USING btree (openings_id, locations_id)
profiles_database	idx_profiles_database_airtable_id	CREATE INDEX idx_profiles_database_airtable_id ON public.profiles_database USING btree (airtable_id)
